symbol,gpt4o_mini_output,qwen_output
LICI,"{""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The excerpt discusses key audit matters related to the classification and valuation of investments in the context of an audit of the financial statements. It outlines the audit procedures carried out to ensure proper classification and valuation/impairment of investments.""}","{""risk_classified"": true, ""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The auditor discusses the key audit matter related to the classification and valuation of investments, highlighting the procedures performed to ensure proper classification and valuation of the investment portfolio.""}"
MAXHEALTH,"{""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The excerpt discusses key audit matters related to the recognition of a tax benefit on a merger between two subsidiaries, including the audit procedures performed to assess risks of material misstatement in the consolidated financial statements.""}","{""risk_classified"": true, ""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The audit report discusses the key audit matter related to the recognition of tax benefits from the merger of JHL and CRL. The auditor evaluated controls and procedures regarding the accounting for the business combination and deferred tax assets.""}"
ONGC,"{""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The excerpt discusses the auditor's responsibility to express an opinion on the company's internal financial controls with reference to standalone financial statements, including the assessment of the adequacy and operating effectiveness of those controls.""}","{""risk_classified"": true, ""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The excerpt discusses the auditor's responsibility to evaluate the adequacy and effectiveness of the company's internal financial controls over financial reporting. It outlines the audit procedures performed to obtain reasonable assurance regarding the establishment and maintenance of these controls.""}"
PIDILITIND,"{""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The excerpt discusses the audit process conducted in accordance with the Standards on Auditing and outlines the auditor's responsibilities and independence in relation to the consolidated financial statements of the Group.""}","{""risk_classified"": true, ""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The auditor's report states that the audit was conducted in accordance with the Standards on Auditing and that the auditor is independent of the Group, its associates, and a joint venture. The report mentions key audit matters, including revenue recognition with variable consideration, and references Note 31 of the consolidated financial statements.""}"
RELIANCE,"{""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The excerpt discusses the auditor's responsibility to express an opinion on the internal financial controls related to the Consolidated Financial Statements, including assessing the risk of material weakness and evaluating the effectiveness of those controls.""}","{""risk_classified"": true, ""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The excerpt discusses the auditor's responsibility to assess internal financial controls and obtain reasonable assurance about their adequacy and effectiveness in relation to consolidated financial statements.""}"
SUNPHARMA,"{""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The excerpt discusses the auditor's responsibility to express an opinion on the company's internal financial controls based on an audit conducted in accordance with relevant standards and guidance. It outlines the procedures performed to assess the adequacy and effectiveness of these internal controls.""}","{""risk_classified"": true, ""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The excerpt discusses the auditor's responsibility to express an opinion on the company's internal financial controls based on the audit conducted in accordance with the Guidance Note and Standards on Auditing.""}"
UNIONBANK,"{""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The excerpt includes an Independent Auditors’ Report stating that the standalone financial statements are in conformity with accounting principles and provide a true and fair view of the bank's financial position. It also mentions the audit was conducted in accordance with the Standards on Auditing and that the auditors believe the evidence obtained is sufficient to provide a basis for their opinion.""}","{""risk_classified"": true, ""risk_flag_type"": ""auditor_qualification"", ""risk_flag_summary"": ""The auditor's report states that the standalone financial statements comply with the Banking Regulation Act, RBI guidelines, and Indian accounting principles. The auditor confirms the financial statements present a true and fair view of the bank's financial position and performance.""}"
ABB,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses the company's provisions for litigations and contingencies, indicating that provisions are estimated for present obligations that may require resource outflow. It also mentions the assessment of contingent liabilities based on significant judgments.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses the company's estimation of provisions for litigations and contingencies, including the recognition of contingent liabilities when there is a possible obligation.""}"
ADANIPOWER,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses the recognition of contingent liabilities and contingent assets in the context of business combinations, specifically how they affect the purchase consideration and the calculation of goodwill or capital reserve.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses the recognition of contingent liabilities as part of the fair value of identifiable assets and liabilities in a business combination, noting that purchase consideration paid in excess of this fair value is recognized as goodwill or capital reserve.""}"
AXISBANK,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses guarantees issued by the Bank on behalf of its customers, which are classified as contingent liabilities. It also mentions other obligations and items for which the Bank is contingently liable, including various financial commitments and undertakings.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The Bank issues guarantees on behalf of customers, which are netted against cash margins and reported in Schedule 12 – Contingent Liabilities. Other contingent liabilities include rediscounted bills, outstanding contracts, and commitments related to underwriting and equity investments.""}"
BHARTIARTL,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses total disputed cases without assessing them as Probable, Possible, and Remote, as done in the context of Contingent Liabilities.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt mentions disputed cases related to various taxes, including entertainment tax, but notes that the amount for entertainment tax is nil. It also states that the figures represent total disputed cases without assessment of Probable, Possible, and Remote, as done in case of Contingent Liabilities.""}"
CIPLA,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses the measurement and recognition of contingent liabilities in the context of business combinations, stating that a contingent liability is assumed only if it represents a present obligation arising from a past event and its fair value can be measured reliably.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses contingent consideration measured at fair value and contingent liabilities assumed in business combinations, focusing on their recognition, measurement, and accounting treatment.""}"
DRREDDY,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The Company has filed appeals against orders from GST authorities regarding input tax credit and a GST reverse charge demand, indicating potential contingent liabilities. The Company believes that the likelihood of any liability from these matters is not probable.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The company has provisions for potential liabilities related to GST input tax credit claims and reverse charge payments. It has filed appeals against orders confirming these liabilities and believes the likelihood of any liability is not probable.""}"
GODREJCP,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt mentions contingent liabilities related to claims for excise duties, taxes, and other matters, indicating potential financial obligations that may arise.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt mentions contingent liabilities under Note 48, which includes claims for excise duties, taxes, and other matters, specifically excise duty and service tax matters.""}"
HDFCBANK,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses foreign currency denominated contingent liabilities related to foreign exchange and derivative contracts, guarantees, letters of credit, acceptances, and endorsements, and how they are translated at closing rates of exchange.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt mentions foreign currency denominated contingent liabilities related to foreign exchange and derivative contracts, guarantees, letters of credit, acceptances, and endorsements. These liabilities are translated at closing exchange rates notified by FEDAI and RBI as of the Balance Sheet date.""}"
ICICIBANK,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt mentions guarantees given on behalf of constituents and other items for which the Bank is contingently liable.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt lists various items for which the Bank is contingently liable, including guarantees given on behalf of constituents, acceptances, endorsements, and other obligations.""}"
JINDALSTEL,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses the accounting treatment of identifiable assets, liabilities, and contingent liabilities in the context of business combinations and acquisitions.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt mentions contingent liabilities that meet the conditions for recognition in the context of business combinations accounted for using the acquisition method.""}"
M&M,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses the company's exposure to credit risk related to financial guarantees given to banks, indicating a potential contingent liability if the guarantees are called upon.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses the company's exposure to credit risk through financial guarantees given to banks, noting the maximum exposure and the amount recognised as liability.""}"
MOTHERSON,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses the approval sought for additional loans, guarantees, or securities to be provided by the Company to its subsidiaries, which may involve contingent liabilities under section 186 of the Act.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses the Company seeking approval to provide additional loans, guarantees, or security to subsidiaries, which may constitute contingent liabilities under the Act.""}"
ONGC,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt mentions a corporate guarantee given by ONGC that helped in the closure of a high interest-bearing loan, indicating a potential contingent liability related to the company's financial obligations.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The company has a corporate guarantee given by ONGC which helped in closing high interest-bearing loans and taking loans at lower rates, thereby reducing interest costs.""}"
PNB,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""A possible obligation that may arise depending on the outcome of a specific uncertain event has been recognized as a Contingent Liability. Cases filed against the Bank, where the possibility of any obligation arising is considered remote, have not been included in Contingent Liability.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt defines contingent liability as a possible obligation depending on future events. It states that cases with remote obligation possibilities are not included as contingent liabilities.""}"
SBILIFE,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt includes a section on contingent liabilities, detailing various types such as claims not acknowledged as debts, guarantees given, and statutory demands in dispute. It also mentions reinsurance obligations and insurance claims disputed by the company.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses contingent liabilities, including partly paid-up investments, claims not acknowledged as debts, underwriting commitments, guarantees given, statutory demands in dispute, reinsurance obligations, and disputed insurance claims, with references to specific notes and regulations.""}"
SUNPHARMA,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt discusses guarantees given by bankers on behalf of the Group and mentions that the obligation to pay milestone payments on certain contracts is contingent upon the fulfillment of contractual obligations by the parties involved.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The excerpt mentions guarantees given by bankers on behalf of the Group and commitments related to contracts, which are contingent upon fulfillment of contractual obligations by the parties involved.""}"
ULTRACEMCO,"{""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The Company has assumed all the contingent liabilities of ICEM amounting to a specified amount.""}","{""risk_classified"": true, ""risk_flag_type"": ""contingent_liability"", ""risk_flag_summary"": ""The company has assumed all contingent liabilities of ICEM amounting to a specified amount.""}"
ABB,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The listed entity has obtained prior approval of the Audit Committee for all related party transactions and provided detailed reasons regarding the approval status of transactions that did not receive prior approval.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The listed entity has obtained prior approval of the Audit Committee for all related party transactions or provided detailed reasons and confirmation of subsequent approval, rejection, or ratification by the Audit Committee if no prior approval was obtained.""}"
ADANIGREEN,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The Group's trade receivables are related to transactions with related parties and others, indicating that there are disclosed transactions with related parties.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The Group has trade receivables related to trading transactions with related parties and others. The Group regularly receives sale dues from customers including related parties.""}"
AMBUJACEM,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt includes the acronym 'RPT' which stands for related party transactions.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt includes 'RPT' which stands for Related party transactions.""}"
BAJAJFINSV,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses the oversight of related party transactions by the Audit Committee, including the approval and review of such transactions on a quarterly and annual basis.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt mentions the oversight of related party transactions, including the approval and review of such transactions, as part of the Audit Committee's responsibilities.""}"
BEL,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt references related party disclosures and includes loans to related parties in the financial statements.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt mentions loans to related parties under Note 8 - Loans, indicating a related party transaction.""}"
CHOLAFIN,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The Company has a policy on related party transactions approved by the Board, stating that all transactions during the financial year were conducted in the ordinary course of business and on an arm's length basis. There were no materially significant transactions with promoters or key managerial personnel that could conflict with the Company's interests.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The Company has a policy on related party transactions approved by the Board. All transactions with related parties during the financial year were in the ordinary course of business and on an arm's length basis. There were no materially significant transactions with promoters, Directors, key managerial personnel, or other designated persons that could conflict with the Company's interests. An omnibus approval from the Audit Committee was obtained for transactions with related parties, including up to 1 crore per transaction per party. Transactions under this approval were reviewed quarterly by the Audit Committee.""}"
DIXON,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses material related party transactions involving a subsidiary of the company, including details about the related parties, nature of the transactions, and the approval process as per regulatory requirements.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses Material Related Party Transactions involving a subsidiary of the company with Tecno ReallyTek Limited, including the nature of the relationship, type of transaction, monetary value, tenure, and justification for the transactions.""}"
GAIL,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses the approval of shareholders for material related party transactions with Bhagyanagar Gas Limited for FY 2026-27, in accordance with applicable regulations and the company's Related Party Transactions Policy.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses a resolution to approve material related party transactions with Bhagyanagar Gas Limited for FY 2026-27, including various types of transactions such as sale of goods, services, loans, guarantees, and resource transfers.""}"
HDFCLIFE,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses transactions with related parties as identified by the management according to Accounting Standard 18, detailing the nature of relationships and the parties involved.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses transactions between the Group and its related parties, including details of the related parties, their nature of relationship, and the transactions entered into with them.""}"
HYUNDAI,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""All related party transactions entered during the year were in the ordinary course of business and on an arm’s length basis. There have been no guarantees provided or received for any related party receivables or payables other than those disclosed.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""All related party transactions during the year were conducted in the ordinary course of business on an arm’s length basis. Outstanding balances at year-end are settled in cash or credit as per the arrangement terms.""}"
JINDALSTEL,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses the company's related party transactions, stating that they were approved by the Audit Committee and conducted on an arm's length basis in the ordinary course of business. It also mentions the regulatory requirements for material related party transactions and the exceptions applicable to certain transactions between subsidiaries.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses related party transactions (RPTs) entered into by the company during the year, which were approved by the Audit Committee and conducted on an arm's length basis. It also outlines the requirements for Material Related Party Transactions (MRPTs) under the Listing Regulations, including shareholder approval for certain transactions.""}"
LT,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The Company has disclosed its related party transactions, which were conducted in the ordinary course of business and at arm's length. The Audit Committee has approved these transactions, and they are presented for approval at the upcoming Annual General Meeting.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The Company disclosed related party transactions in Note 57 of the financial statements, including providing guarantees and transactions with Larsen Toubro Arabia LLC. The transactions were approved by the Audit Committee and are in the ordinary course of business at arm’s length.""}"
MOTHERSON,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt mentions the disclosure and/or approval of any related party transactions.""}","{""risk_classified"": true}"
PNB,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses various transactions with related parties, including borrowings, deposits, advances, and other financial arrangements with associates and key management personnel (KMP). It details outstanding amounts and transactions during specific financial years.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses transactions with related parties, including borrowings, deposits, advances, leasing arrangements, investments, and other assets. It includes details on outstanding amounts and transactions during the fiscal years 2025-26 and 2024-25.""}"
RELIANCE,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses a related party transaction between Reliance Retail Limited and Neolync Solutions Private Limited, detailing the nature of the transaction, its approval by members, and the justification for its continuation in the interest of the listed entity.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses a related party transaction between Reliance Retail Limited and Neolync Solutions Private Limited, detailing the terms and justification for the transaction. It mentions that the transaction is not new and was previously approved by members at the 46th Annual General Meeting in 2023, with a request for enhanced limits for future financial years.""}"
SIEMENS,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses related party transactions, including payments made to the immediate parent and parties with significant influence during the specified period.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses related party transactions, including payments to the Immediate parent and Parties with significant influence, and details transactions from continuing and discontinued operations of the group.""}"
TCS,"{""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses the approval of material related party transactions with Tata Consultancy Services Japan, Ltd., in accordance with relevant regulations and the company's policy on related party transactions.""}","{""risk_classified"": true, ""risk_flag_type"": ""related_party_transaction"", ""risk_flag_summary"": ""The excerpt discusses the approval of material related party transactions with Tata Consultancy Services Japan, Ltd., a non-wholly owned subsidiary, and references relevant regulations and policies governing such transactions.""}"
ADANIENT,"{""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The excerpt discusses the pledge of shares amounting to 51% of the total paid-up equity shares of the company, subject to compliance with specific regulations and a Non-Disclosure Undertaking for the remaining shares.""}","{""risk_classified"": true, ""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The excerpt mentions the pledge of 51% of the company's total paid-up equity shares as a security measure, subject to compliance with specific regulations and a non-disclosure undertaking for the remaining shares.""}"
ADANIGREEN,"{""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The excerpt discusses details of equity shares pledged by the company as security for secured loans availed by its subsidiaries from banks and financial institutions.""}","{""risk_classified"": true, ""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The excerpt mentions equity shares of Adani Green Energy Twenty Three Limited and Adani Renewable Energy (KA) Limited pledged as security for secured loans by subsidiaries.""}"
ADANIGREEN,"{""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The excerpt discusses the pledge of shares corresponding to at least 51% of the promoter contribution and mentions a further pledge of 30% equity shares/OCDs, indicating the shares are pledged as security for loans.""}","{""risk_classified"": true, ""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The excerpt mentions a pledge of 30% equity shares/OCDs by the promoter, secured against a rupee term loan. It also refers to a pledge of shares corresponding to at least 51% of the promoter's contribution.""}"
BAJFINANCE,"{""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The excerpt discusses advances against the pledge of shares of companies where the borrower is a promoter, detailing amounts for the current and previous year.""}","{""risk_classified"": true, ""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The excerpt mentions advances against the pledge of shares of companies where the borrower is a promoter, indicating that promoter shares are pledged as security for loans.""}"
JINDALSTEL,"{""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The excerpt discusses the pledge of shares of Jindal Steel Odisha Limited held by the Company, indicating that a significant number of equity shares and compulsory convertible preference shares have been pledged as part of debt facilities sanctioned by lenders.""}","{""risk_classified"": true, ""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The company has pledged shares of Jindal Steel Odisha Limited (JSO), including equity shares and compulsory convertible preference shares, as security for debt facilities. The pledge covers up to 51% of total paid-up equity shares and 100% of total CCPS.""}"
JINDALSTEL,"{""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The Company has pledged 13,17,12,154 fully paid up equity shares of Jindal Paradip Port Limited, which constitutes up to 51% of the total Jindal Steel shareholding, as part of debt facilities sanctioned by lenders.""}","{""risk_classified"": true, ""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The company has pledged 13,17,12,154 fully paid up equity shares of Jindal Paradip Port Limited (JPPL) as a pari passu charge under debt facilities sanctioned by lenders of JPPL.""}"
MANKIND,"{""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The excerpt states that the non-convertible debentures issued by the Company are secured by an exclusive pledge of shares and securities of Bharat Serums and Vaccines Limited acquired by the Company.""}","{""risk_classified"": true, ""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The company's non-convertible debentures are secured by a pledge of shares and securities of Bharat Serums and Vaccines Limited acquired by the company.""}"
MANKIND,"{""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The excerpt mentions an exclusive pledge of shares and securities of Bharat Serums and Vaccines Limited acquired by the Company.""}","{""risk_classified"": true, ""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The Company's shares and securities of Bharat Serums and Vaccines Limited are exclusively pledged. The Company has complied with financial covenants and there are no defaults or breaches.""}"
PFC,"{""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The excerpt discusses the security measures and covenants related to a project, including the personal guarantee of promoters and the pledge of shares as part of the collateral securities.""}","{""risk_classified"": true, ""risk_flag_type"": ""promoter_pledge"", ""risk_flag_summary"": ""The Company requires personal guarantees from promoters and pledges of shares as part of collateral securities to mitigate risks during the project's construction and post-COD stages.""}"
